Date,Year,Month,Month number,Quarter,Weekday,Draw index,Balls,LuckyStars,Ball sum,Low ball count,High ball count,Odd ball count,Even ball count,Birthday ball count,Consecutive pairs,Star sum,Jackpot prize GBP,UK jackpot winners,Total jackpot winners,Jackpot won,Rollover count,Winning ticket information,Ball set,Ball machine,Result URL,Fetch error
2004-07-30,2004,July,7,Q3,Friday,25,"[9, 10, 19, 37, 50]","[1, 6]",125,3,2,3,2,3,1,7,14603161.0,0.0,0.0,False,5.0,,,,https://www.lottery.co.uk/euromillions/results-30-07-2004,
2004-08-06,2004,August,8,Q3,Friday,26,"[5, 15, 24, 35, 44]","[5, 6]",123,3,2,3,2,3,0,11,16568021.0,0.0,1.0,True,5.0,The single winning jackpot ticket matching 5 main numbers and 2 Lucky Stars was purchased in France .,,,https://www.lottery.co.uk/euromillions/results-06-08-2004,
2004-08-13,2004,August,8,Q3,Friday,27,"[20, 27, 41, 43, 50]","[5, 8]",181,1,4,3,2,2,0,13,6740000.0,0.0,0.0,False,5.0,,,,https://www.lottery.co.uk/euromillions/results-13-08-2004,
2004-08-20,2004,August,8,Q3,Friday,28,"[6, 9, 10, 27, 35]","[6, 8]",87,3,2,3,2,4,1,14,8372421.0,0.0,0.0,False,5.0,,,,https://www.lottery.co.uk/euromillions/results-20-08-2004,
2004-08-27,2004,August,8,Q3,Friday,29,"[1, 11, 22, 28, 44]","[1, 9]",106,3,2,2,3,4,0,10,9880576.0,0.0,0.0,False,5.0,,,,https://www.lottery.co.uk/euromillions/results-27-08-2004,
2004-09-03,2004,September,9,Q3,Friday,30,"[8, 12, 14, 15, 34]","[6, 7]",83,4,1,1,4,4,1,13,,,,False,,,,,https://www.lottery.co.uk/euromillions/results-03-09-2004,
2004-09-10,2004,September,9,Q3,Friday,31,"[5, 25, 33, 36, 38]","[2, 5]",137,2,3,3,2,2,0,7,,,,False,,,,,https://www.lottery.co.uk/euromillions/results-10-09-2004,
2004-09-17,2004,September,9,Q3,Friday,32,"[15, 18, 29, 39, 41]","[5, 8]",142,2,3,4,1,3,0,13,,,,False,,,,,https://www.lottery.co.uk/euromillions/results-17-09-2004,
2004-09-24,2004,September,9,Q3,Friday,33,"[21, 26, 27, 44, 48]","[1, 7]",166,1,4,2,3,3,1,8,,,,False,,,,,https://www.lottery.co.uk/euromillions/results-24-09-2004,
2004-10-01,2004,October,10,Q4,Friday,34,"[12, 20, 21, 45, 48]","[5, 6]",146,3,2,2,3,3,1,11,,,,False,,,,,https://www.lottery.co.uk/euromillions/results-01-10-2004,
