Strategy,runs,mean_total_matches,total_ci_low,total_ci_high,mean_prize_hit_rate,hit_ci_low,hit_ci_high,mean_expected_prize_value,value_ci_low,value_ci_high,mean_expected_net_value,mean_roi,win_rate_vs_random,avg_total_edge_vs_random,avg_hit_edge_vs_random,avg_value_edge_vs_random
Ranked model,10,0.8666666666666666,0.808622703483564,0.9247106298497692,0.096,0.07739849881413578,0.11460150118586422,0.4680000000000001,0.3413792025177101,0.5946207974822901,-2.032,-0.8128,0.6,0.022666666666666647,0.009333333333333332,0.11200000000000002
Random baseline,10,0.844,0.8052289278671599,0.88277107213284,0.08666666666666667,0.0709627763459514,0.10237055698738194,0.35600000000000004,0.29665674591996005,0.41534325408004,-2.1439999999999997,-0.8576,,,,
Balanced mix,10,0.8533333333333333,0.7857462323643004,0.9209204343023661,0.07333333333333333,0.060861149501728606,0.08580551716493806,0.32533333333333336,0.25683179675916795,0.3938348699074988,-2.174666666666667,-0.8698666666666666,0.6,0.009333333333333315,-0.01333333333333334,-0.030666666666666665
Recent hot,10,0.8773333333333333,0.818407113612676,0.9362595530539906,0.08,0.06172775494150725,0.09827224505849275,0.30266666666666664,0.2346263877244889,0.3707069456088444,-2.197333333333334,-0.8789333333333333,0.6,0.033333333333333326,-0.006666666666666668,-0.05333333333333333
Cold numbers,10,0.7733333333333333,0.7369970756242924,0.8096695910423742,0.06399999999999999,0.05061798308815514,0.07738201691184483,0.25866666666666666,0.19392372802618402,0.3234096053071493,-2.2413333333333334,-0.8965333333333334,0.0,-0.07066666666666668,-0.02266666666666667,-0.09733333333333333
