Strategy,draws,avg_ball_matches,avg_star_matches,avg_total_matches,total_ci_low,total_ci_high,prize_hits,prize_hit_rate,hit_ci_low,hit_ci_high,expected_prize_value,expected_net_value,return_ratio,roi,total_prize_value,best_prize_tier,best_prize_rank,best_prize_value
Ranked model,200,0.495,0.325,0.82,0.7162512350762127,0.9237487649237872,19,0.095,0.06166310271738653,0.1436016116481994,0.325,-2.175,0.13,-0.8699999999999999,65.0,2+1,12,5.0
Random baseline,200,0.515,0.32,0.835,0.7257964598528283,0.9442035401471717,15,0.075,0.045974917184382014,0.12004361023629458,0.3,-2.2,0.12,-0.8800000000000001,60.0,2+2,8,12.0
Cold numbers,200,0.475,0.285,0.76,0.6503884435080725,0.8696115564919276,15,0.075,0.045974917184382014,0.12004361023629458,0.295,-2.205,0.118,-0.882,59.0,3+0,10,8.0
Balanced mix,200,0.46,0.335,0.795,0.6916824018508794,0.8983175981491207,11,0.055,0.03098534170345884,0.09578699877230841,0.18,-2.32,0.072,-0.9279999999999999,36.0,1+2,11,6.0
Recent hot,200,0.44,0.33,0.77,0.6644527092720379,0.8755472907279621,8,0.04,0.020405632066152302,0.07693206820093294,0.175,-2.325,0.06999999999999999,-0.93,35.0,3+0,10,8.0
